comment_id,is_reply,like_count,parent_id,published_at,retrieved_at,source,text,thread_id,updated_at,video_id,text_original,text_clean,comment_age_days,relevance_status,relevance_score,llm_relevance,stance,frames,emotion,narrative_frame,sarcasm,irony,rhetorical_question,metaphor,llm_rationale,llm_source,llm_cached_at,llm_cache_key,human_stance,human_frames,human_emotion,human_narrative_frame,human_relevance
demo_c_82e01b510e7d,False,19,,2024-10-10 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_f030944899_1,2024-09-29 02:00:00+00:00,demo_f030944899,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,677,directly relevant,5,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
demo_c_a003f072acea,False,25,,2024-02-11 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Tuvalu should not be left alone. Australia has a responsibility here.,thread_demo_933b385387_0,2024-02-10 02:00:00+00:00,demo_933b385387,Tuvalu should not be left alone. Australia has a responsibility here.,Tuvalu should not be left alone. Australia has a responsibility here.,919,contextually relevant,3,directly relevant,Support,['Other'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:45Z,38d4189a92ce0194a2cd1aad48c5c8971dfe10f21783b9deaface4c6da0fe005,,,,,
demo_c_26eb1f8b1dd0,False,19,,2025-10-23 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_0fe8f40cb0_0,2025-11-01 02:00:00+00:00,demo_0fe8f40cb0,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,299,directly relevant,5,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
demo_c_3706df611910,False,11,,2025-01-07 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_8d58d71d64_2,2025-01-08 02:00:00+00:00,demo_8d58d71d64,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,588,directly relevant,5,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
demo_c_5a2ad1603d07,False,22,,2024-03-29 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_1cbe679640_0,2024-03-19 02:00:00+00:00,demo_1cbe679640,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,872,directly relevant,5,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
demo_c_85dec81b0d5b,False,22,,2026-05-28 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Tuvalu should not be left alone. Australia has a responsibility here.,thread_demo_d31318ee9d_1,2026-05-29 02:00:00+00:00,demo_d31318ee9d,Tuvalu should not be left alone. Australia has a responsibility here.,Tuvalu should not be left alone. Australia has a responsibility here.,82,contextually relevant,3,directly relevant,Support,['Other'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:45Z,38d4189a92ce0194a2cd1aad48c5c8971dfe10f21783b9deaface4c6da0fe005,,,,,
demo_c_06ace115cdf6,False,28,,2025-08-25 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_6b744ffb61_2,2025-08-30 02:00:00+00:00,demo_6b744ffb61,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,358,directly relevant,5,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
demo_c_8212aa6cb644,False,20,,2026-06-21 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_777bf4466d_1,2026-06-27 02:00:00+00:00,demo_777bf4466d,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,58,directly relevant,6,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
demo_c_f5113c465d08,False,23,,2026-05-29 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_d31318ee9d_2,2026-06-03 02:00:00+00:00,demo_d31318ee9d,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,81,directly relevant,4,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
demo_c_ba087c7cfb21,False,18,,2025-12-27 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_ac0151841d_0,2025-12-23 02:00:00+00:00,demo_ac0151841d,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,234,directly relevant,5,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
